id,code,subvariant,fuel_type,cylinder,enginecreatedat,engine_discontinued
874,330d,Edition M Sport Shadow Steptronic,Dizelis,6,18-Mar,18-Oct
875,330d,Edition M Sport Shadow xDrive Steptronic,Dizelis,6,18-Mar,18-Oct
876,335d,Advantage xDrive Steptronic,Dizelis,6,15-Jul,17-May
877,335d,Sport Line xDrive Steptronic,Dizelis,6,15-Jul,18-Feb
878,335d,Edition Sport Line Shadow xDrive Steptronic,Dizelis,6,17-Jul,18-Feb
879,335d,Sport Line xDrive Steptronic,Dizelis,6,18-Mar,18-Oct
880,335d,Edition Sport Line Shadow xDrive Steptronic,Dizelis,6,18-Mar,18-Oct
881,335d,Luxury Line xDrive Steptronic,Dizelis,6,15-Jul,18-Feb
882,335d,Edition Luxury Line Purity xDrive Steptronic,Dizelis,6,17-Jul,18-Feb
883,335d,Luxury Line xDrive Steptronic,Dizelis,6,18-Mar,18-Jun
884,335d,Edition Luxury Line Purity xDrive Steptronic,Dizelis,6,18-Mar,18-Oct
885,335d,M Sport xDrive Steptronic,Dizelis,6,15-Jul,18-Feb
886,335d,Edition M Sport Shadow xDrive Steptronic,Dizelis,6,17-Jul,18-Feb
887,335d,M Sport xDrive Steptronic,Dizelis,6,18-Mar,18-Jun
888,335d,Edition M Sport Shadow xDrive Steptronic,Benzins,6,18-Mar,18-Oct
889,M3,Nav,Benzins,6,15-Jul,17-Feb
890,M3,M Divsaj?gu p?rnesumk?rba,Benzins,6,15-Jul,17-Feb
891,M3,Nav,Benzins,6,17-Mar,18-May
892,M3,M Divsaj?gu p?rnesumk?rba,Benzins,6,17-Mar,18-May
893,M3 Competition Paket,Nav,Benzins,6,16-Mar,17-Feb
894,M3 Competition Paket,M Divsaj?gu p?rnesumk?rba,Benzins,6,16-Mar,17-Feb
895,M3,30 Jahre M3,Benzins,6,16-Jul,17-Jan
896,M3,30 Jahre M3 Divsaj?gu p?rnesumk?rba,Benzins,6,16-Jul,17-Jan
897,M3 Competition Paket,Nav,Benzins,6,17-Mar,18-May
898,M3 Competition Paket,M Divsaj?gu p?rnesumk?rba,Benzins,6,17-Mar,18-May
899,M3 CS,M Divsaj?gu p?rnesumk?rba,Benzins,6,18-Mar,18-May
900,318i Touring,Nav,Benzins,3,15-Jul,18-Jun
901,318i Touring,Nav,Benzins,3,18-Jul,19-Jun
902,318i Touring,Steptronic,Benzins,3,15-Jul,18-Jun
903,318i Touring,Steptronic,Benzins,3,18-Jul,19-Jun
904,318i Touring,Advantage,Benzins,3,15-Jul,18-Jun
905,318i Touring,Advantage,Benzins,3,18-Jul,19-Jun
906,318i Touring,Advantage Steptronic,Benzins,3,15-Jul,18-Jun
907,318i Touring,Advantage Steptronic,Benzins,3,18-Jul,19-Jun
908,318i Touring,Sport Line,Benzins,3,15-Jul,18-Jun
909,318i Touring,Sport Line,Benzins,3,18-Jul,19-Jun
910,318i Touring,Sport Line Steptronic,Benzins,3,15-Jul,18-Jun
911,318i Touring,Sport Line Steptronic,Benzins,3,18-Jul,19-Jun
912,318i Touring,Sport Line Shadow,Benzins,3,17-Jul,18-Jun
913,318i Touring,Sport Line Shadow,Benzins,3,18-Jul,19-Feb
914,318i Touring,Sport Line Shadow Steptronic,Benzins,3,17-Jul,18-Jun
915,318i Touring,Sport Line Shadow Steptronic,Benzins,3,18-Jul,19-Feb
916,318i Touring,Luxury Line,Benzins,3,15-Jul,18-Jun
917,318i Touring,Luxury Line Steptronic,Benzins,3,15-Jul,18-Jun
918,318i Touring,Edition Luxury Line Purity,Benzins,3,17-Jul,18-Jun
919,318i Touring,Edition Luxury Line Purity,Benzins,3,18-Jul,19-Jun
920,318i Touring,Edition Luxury Line Purity Steptronic,Benzins,3,17-Jul,18-Jun
921,318i Touring,Edition Luxury Line Purity Steptronic,Benzins,3,18-Jul,19-Jun
922,318i Touring,M Sport,Benzins,3,15-Jul,18-Jun
923,318i Touring,M Sport Steptronic,Benzins,3,15-Jul,18-Jun
924,318i Touring,Edition M Sport Shadow,Benzins,3,17-Jul,18-Jun
925,318i Touring,Edition M Sport Shadow,Benzins,3,18-Jul,19-Jun
926,318i Touring,Edition M Sport Shadow Steptronic,Benzins,3,17-Jul,18-Jun
927,318i Touring,Edition M Sport Shadow Steptronic,Benzins,3,18-Jul,19-Jun
928,320i Touring,Nav,Benzins,4,15-Jul,18-Jun
929,320i Touring,Nav,Benzins,4,18-Jul,19-Jun
930,320i Touring,Steptronic,Benzins,4,15-Jul,18-Jun
931,320i Touring,Steptronic,Benzins,4,18-Jul,19-Jun
932,320i Touring,xDrive,Benzins,4,15-Jul,18-Jun
933,320i Touring,xDrive Steptronic,Benzins,4,15-Jul,18-Jun
934,320i Touring,xDrive Steptronic,Benzins,4,18-Jul,19-Jun
935,320i Touring,Advantage,Benzins,4,15-Jul,18-Jun
936,320i Touring,Advantage,Benzins,4,18-Jul,19-Jun
937,320i Touring,Advantage Steptronic,Benzins,4,15-Jul,18-Jun
938,320i Touring,Advantage Steptronic,Benzins,4,18-Jul,19-Jun
939,320i Touring,Advantage xDrive,Benzins,4,15-Jul,18-Jun
940,320i Touring,Advantage xDrive Steptronic,Benzins,4,15-Jul,18-Jun
941,320i Touring,Advantage xDrive Steptronic,Benzins,4,18-Jul,19-Jun
942,320i Touring,Sport Line,Benzins,4,15-Jul,18-Jun
943,320i Touring,Sport Line,Benzins,4,18-Jul,19-Jun
944,320i Touring,Sport Line Steptronic,Benzins,4,15-Jul,18-Jun
945,320i Touring,Sport Line Steptronic,Benzins,4,18-Jul,19-Jun
946,320i Touring,Sport Line xDrive,Benzins,4,15-Jul,18-Jun
947,320i Touring,Sport Line xDrive Steptronic,Benzins,4,15-Jul,18-Jun
948,320i Touring,Sport Line xDrive Steptronic,Benzins,4,18-Jul,19-Jun
949,320i Touring,Sport Line Shadow,Benzins,4,17-Jul,18-Jun
950,320i Touring,Sport Line Shadow,Benzins,4,18-Jul,19-Feb
951,320i Touring,Sport Line Shadow Steptronic,Benzins,4,17-Jul,18-Jun
952,320i Touring,Sport Line Shadow Steptronic,Benzins,4,18-Jul,19-Feb
953,320i Touring,Sport Line Shadow xDrive,Benzins,4,17-Jul,18-Jun
954,320i Touring,Sport Line Shadow xDrive Steptronic,Benzins,4,17-Jul,18-Jun
955,320i Touring,Sport Line Shadow xDrive Steptronic,Benzins,4,18-Jul,19-Feb
956,320i Touring,Luxury Line,Benzins,4,15-Jul,18-Jun
957,320i Touring,Luxury Line Steptronic,Benzins,4,15-Jul,18-Jun
958,320i Touring,Luxury Line xDrive,Benzins,4,15-Jul,18-Jun
959,320i Touring,Luxury Line xDrive Steptronic,Benzins,4,15-Jul,18-Jun
960,320i Touring,Edition Luxury Line Purity,Benzins,4,17-Jul,18-Jun
961,320i Touring,Edition Luxury Line Purity,Benzins,4,18-Jul,19-Jun
962,320i Touring,Edition Luxury Line Purity Steptronic,Benzins,4,17-Jul,18-Jun
963,320i Touring,Edition Luxury Line Purity Steptronic,Benzins,4,18-Jul,19-Jun
964,320i Touring,Edition Luxury Line Purity xDrive,Benzins,4,17-Jul,18-Jun
965,320i Touring,Edition Luxury Line Purity xDrive Steptronic,Benzins,4,17-Jul,18-Jun
966,320i Touring,Edition Luxury Line Purity xDrive Steptronic,Benzins,4,18-Jul,19-Jun
967,320i Touring,M Sport,Benzins,4,15-Jul,18-Jun
968,320i Touring,M Sport Steptronic,Benzins,4,15-Jul,18-Jun
969,320i Touring,M Sport xDrive,Benzins,4,15-Jul,18-Jun
970,320i Touring,M Sport xDrive Steptronic,Benzins,4,15-Jul,18-Jun
971,320i Touring,Edition M Sport Shadow,Benzins,4,17-Jul,18-Jun
972,320i Touring,Edition M Sport Shadow,Benzins,4,18-Jul,19-Jun
973,320i Touring,Edition M Sport Shadow Steptronic,Benzins,4,17-Jul,18-Jun
974,320i Touring,Edition M Sport Shadow Steptronic,Benzins,4,18-Jul,19-Jun
975,320i Touring,Edition M Sport Shadow xDrive,Benzins,4,17-Jul,18-Jun
976,320i Touring,Edition M Sport Shadow xDrive Steptronic,Benzins,4,17-Jul,18-Jun
977,320i Touring,Edition M Sport Shadow xDrive Steptronic,Benzins,4,18-Jul,19-Jun
978,330i Touring,Advantage,Benzins,4,15-Jul,18-Jun
979,330i Touring,Advantage Steptronic,Benzins,4,15-Jul,18-Jun
980,330i Touring,Advantage Steptronic,Benzins,4,18-Jul,19-Jun
981,330i Touring,Advantage xDrive Steptronic,Benzins,4,15-Jul,18-Jun
982,330i Touring,Advantage xDrive Steptronic,Benzins,4,18-Jul,19-Jun
983,330i Touring,Sport Line,Benzins,4,15-Jul,18-Jun
984,330i Touring,Sport Line Steptronic,Benzins,4,15-Jul,18-Jun
985,330i Touring,Sport Line Steptronic,Benzins,4,18-Jul,19-Jun
986,330i Touring,Sport Line xDrive Steptronic,Benzins,4,15-Jul,18-Jun
987,330i Touring,Sport Line xDrive Steptronic,Benzins,4,18-Jul,19-Jun
988,330i Touring,Sport Line Shadow,Benzins,4,17-Jul,18-Jun
989,330i Touring,Sport Line Shadow Steptronic,Benzins,4,17-Jul,18-Jun
990,330i Touring,Sport Line Shadow Steptronic,Benzins,4,18-Jul,19-Feb
991,330i Touring,Sport Line Shadow xDrive Steptronic,Benzins,4,17-Jul,18-Jun
992,330i Touring,Sport Line Shadow xDrive Steptronic,Benzins,4,18-Jul,19-Feb
993,330i Touring,Luxury Line,Benzins,4,15-Jul,18-Jun
994,330i Touring,Luxury Line Steptronic,Benzins,4,15-Jul,18-Jun
995,330i Touring,Luxury Line xDrive Steptronic,Benzins,4,15-Jul,18-Jun
996,330i Touring,Edition Luxury Line Purity,Benzins,4,17-Jul,18-Jun
997,330i Touring,Edition Luxury Line Purity Steptronic,Benzins,4,17-Jul,18-Jun
998,330i Touring,Edition Luxury Line Purity Steptronic,Benzins,4,18-Jul,19-Jun
999,330i Touring,Edition Luxury Line Purity xDrive Steptronic,Benzins,4,17-Jul,18-Jun
1000,330i Touring,Edition Luxury Line Purity xDrive Steptronic,Benzins,4,18-Jul,19-Jun
1001,330i Touring,M Sport,Benzins,4,15-Jul,18-Jun
1002,330i Touring,M Sport Steptronic,Benzins,4,15-Jul,18-Jun
1003,330i Touring,M Sport xDrive Steptronic,Benzins,4,15-Jul,18-Jun
1004,330i Touring,Edition M Sport Shadow,Benzins,4,17-Jul,18-Jun
1005,330i Touring,Edition M Sport Shadow Steptronic,Benzins,4,17-Jul,18-Jun
1006,330i Touring,Edition M Sport Shadow Steptronic,Benzins,4,18-Jul,19-Jun
1007,330i Touring,Edition M Sport Shadow xDrive Steptronic,Benzins,4,17-Jul,18-Jun
1008,330i Touring,Edition M Sport Shadow xDrive Steptronic,Benzins,4,18-Jul,19-Jun
1009,340i Touring,Advantage Steptronic,Benzins,6,15-Jul,17-May
1010,340i Touring,Advantage xDrive Steptronic,Benzins,6,15-Jul,17-May
1011,340i Touring,Sport Line Steptronic,Benzins,6,15-Jul,18-Jun
1012,340i Touring,Sport Line Steptronic,Benzins,6,18-Jul,19-Jun
1013,340i Touring,Sport Line xDrive Steptronic,Benzins,6,15-Jul,18-Jun
1014,340i Touring,Sport Line xDrive Steptronic,Benzins,6,18-Jul,19-Jun
1015,340i Touring,Sport Line Shadow Steptronic,Benzins,6,17-Jul,18-Jun
1016,340i Touring,Sport Line Shadow Steptronic,Benzins,6,18-Jul,19-Feb
1017,340i Touring,Sport Line Shadow xDrive Steptronic,Benzins,6,17-Jul,18-Jun
1018,340i Touring,Sport Line Shadow xDrive Steptronic,Benzins,6,18-Jul,19-Feb
1019,340i Touring,Luxury Line Steptronic,Benzins,6,15-Jul,18-Jun
1020,340i Touring,Luxury Line xDrive Steptronic,Benzins,6,15-Jul,18-Jun
1021,340i Touring,Edition Luxury Line Purity Steptronic,Benzins,6,17-Jul,18-Jun
1022,340i Touring,Edition Luxury Line Purity Steptronic,Benzins,6,18-Jul,19-Jun
1023,340i Touring,Edition Luxury Line Purity xDrive Steptronic,Benzins,6,17-Jul,18-Jun
1024,340i Touring,Edition Luxury Line Purity xDrive Steptronic,Benzins,6,18-Jul,19-Jun
1025,340i Touring,M Sport Steptronic,Benzins,6,15-Jul,18-Jun
1026,340i Touring,M Sport xDrive Steptronic,Benzins,6,15-Jul,18-Jun
1027,340i Touring,Edition M Sport Shadow Steptronic,Benzins,6,17-Jul,18-Jun
1028,340i Touring,Edition M Sport Shadow Steptronic,Benzins,6,18-Jul,19-Jun
1029,340i Touring,Edition M Sport Shadow xDrive Steptronic,Benzins,6,17-Jul,18-Jun
1030,340i Touring,Edition M Sport Shadow xDrive Steptronic,Dizelis,6,18-Jul,19-Jun
1031,316d Touring,Nav,Dizelis,4,15-Jul,18-Feb
1032,316d Touring,Steptronic,Dizelis,4,15-Jul,18-Feb
1033,316d Touring,Nav,Dizelis,4,18-Mar,19-Jun
1034,316d Touring,Steptronic,Dizelis,4,18-Mar,18-Jun
1035,316d Touring,Steptronic,Dizelis,4,18-Jul,19-Jun
1036,316d Touring,Advantage,Dizelis,4,15-Jul,18-Feb
1037,316d Touring,Advantage Steptronic,Dizelis,4,15-Jul,18-Feb
1038,316d Touring,Advantage,Dizelis,4,18-Mar,19-Jun
1039,316d Touring,Advantage Steptronic,Dizelis,4,18-Mar,18-Jun
1040,316d Touring,Advantage Steptronic,Dizelis,4,18-Jul,19-Jun
1041,316d Touring,Sport Line,Dizelis,4,15-Jul,18-Feb
1042,316d Touring,Sport Line Steptronic,Dizelis,4,15-Jul,18-Feb
1043,316d Touring,Sport Line,Dizelis,4,18-Mar,19-Jun
1044,316d Touring,Sport Line Steptronic,Dizelis,4,18-Mar,18-Jun
1045,316d Touring,Sport Line Steptronic,Dizelis,4,18-Jul,19-Jun
1046,316d Touring,Sport Line Shadow,Dizelis,4,17-Jul,18-Feb
1047,316d Touring,Sport Line Shadow Steptronic,Dizelis,4,17-Jul,18-Feb
1048,316d Touring,Sport Line Shadow,Dizelis,4,18-Mar,19-Feb
1049,316d Touring,Sport Line Shadow Steptronic,Dizelis,4,18-Mar,18-Jun
1050,316d Touring,Sport Line Shadow Steptronic,Dizelis,4,18-Jul,19-Feb
1051,316d Touring,Luxury Line,Dizelis,4,15-Jul,18-Feb
1052,316d Touring,Luxury Line Steptronic,Dizelis,4,15-Jul,18-Feb
1053,316d Touring,Luxury Line,Dizelis,4,18-Mar,18-Jun
1054,316d Touring,Luxury Line Steptronic,Dizelis,4,18-Mar,18-Jun
1055,316d Touring,Edition Luxury Line Purity,Dizelis,4,17-Jul,18-Feb
1056,316d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,17-Jul,18-Feb
1057,316d Touring,Edition Luxury Line Purity,Dizelis,4,18-Mar,19-Jun
1058,316d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,18-Mar,18-Jun
1059,316d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,18-Jul,19-Jun
1060,316d Touring,M Sport,Dizelis,4,15-Jul,18-Feb
1061,316d Touring,M Sport Steptronic,Dizelis,4,15-Jul,18-Feb
1062,316d Touring,M Sport,Dizelis,4,18-Mar,18-Jun
1063,316d Touring,M Sport Steptronic,Dizelis,4,18-Mar,18-Jun
1064,316d Touring,Edition M Sport Shadow,Dizelis,4,17-Jul,18-Feb
1065,316d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,17-Jul,18-Feb
1066,316d Touring,Edition M Sport Shadow,Dizelis,4,18-Mar,19-Jun
1067,316d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,18-Mar,18-Jun
1068,316d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,18-Jul,19-Jun
1069,318d Touring,Nav,Dizelis,4,15-Jul,18-Feb
1070,318d Touring,Steptronic,Dizelis,4,15-Jul,18-Feb
1071,318d Touring,Nav,Dizelis,4,18-Mar,19-Jun
1072,318d Touring,Steptronic,Dizelis,4,18-Mar,18-Jun
1073,318d Touring,Steptronic,Dizelis,4,18-Jul,19-Jun
1074,318d Touring,xDrive,Dizelis,4,15-Jul,18-Feb
1075,318d Touring,Advantage,Dizelis,4,15-Jul,18-Feb
1076,318d Touring,Advantage Steptronic,Dizelis,4,15-Jul,18-Feb
1077,318d Touring,Advantage,Dizelis,4,18-Mar,19-Jun
1078,318d Touring,Advantage Steptronic,Dizelis,4,18-Mar,18-Jun
1079,318d Touring,Advantage Steptronic,Dizelis,4,18-Jul,19-Jun
1080,318d Touring,Advantage xDrive,Dizelis,4,15-Jul,18-Feb
1081,318d Touring,Sport Line,Dizelis,4,15-Jul,18-Feb
1082,318d Touring,Sport Line Steptronic,Dizelis,4,15-Jul,18-Feb
1083,318d Touring,Sport Line,Dizelis,4,18-Mar,19-Jun
1084,318d Touring,Sport Line Steptronic,Dizelis,4,18-Mar,18-Jun
1085,318d Touring,Sport Line Steptronic,Dizelis,4,18-Jul,19-Jun
1086,318d Touring,Sport Line xDrive,Dizelis,4,15-Jul,18-Feb
1087,318d Touring,Sport Line Shadow,Dizelis,4,17-Jul,18-Feb
1088,318d Touring,Sport Line Shadow Steptronic,Dizelis,4,17-Jul,18-Feb
1089,318d Touring,Sport Line Shadow,Dizelis,4,18-Mar,19-Feb
1090,318d Touring,Sport Line Shadow Steptronic,Dizelis,4,18-Mar,18-Jun
1091,318d Touring,Sport Line Shadow Steptronic,Dizelis,4,18-Jul,19-Feb
1092,318d Touring,Sport Line Shadow xDrive,Dizelis,4,17-Jul,18-Feb
1093,318d Touring,Luxury Line,Dizelis,4,15-Jul,18-Feb
1094,318d Touring,Luxury Line Steptronic,Dizelis,4,15-Jul,18-Feb
1095,318d Touring,Luxury Line,Dizelis,4,18-Mar,18-Jun
1096,318d Touring,Luxury Line Steptronic,Dizelis,4,18-Mar,18-Jun
1097,318d Touring,Luxury Line xDrive,Dizelis,4,15-Jul,18-Feb
1098,318d Touring,Edition Luxury Line Purity,Dizelis,4,17-Jul,18-Feb
1099,318d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,17-Jul,18-Feb
1100,318d Touring,Edition Luxury Line Purity,Dizelis,4,18-Mar,19-Jun
1101,318d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,18-Mar,18-Jun
1102,318d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,18-Jul,19-Jun
1103,318d Touring,Edition Luxury Line Purity xDrive,Dizelis,4,17-Jul,18-Feb
1104,318d Touring,M Sport,Dizelis,4,15-Jul,18-Feb
1105,318d Touring,M Sport Steptronic,Dizelis,4,15-Jul,18-Feb
1106,318d Touring,M Sport,Dizelis,4,18-Mar,18-Jun
1107,318d Touring,M Sport Steptronic,Dizelis,4,18-Mar,18-Jun
1108,318d Touring,M Sport xDrive,Dizelis,4,15-Jul,18-Feb
1109,318d Touring,Edition M Sport Shadow,Dizelis,4,17-Jul,18-Feb
1110,318d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,17-Jul,18-Feb
1111,318d Touring,Edition M Sport Shadow,Dizelis,4,18-Mar,19-Jun
1112,318d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,18-Mar,18-Jun
1113,318d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,18-Jul,19-Jun
1114,318d Touring,Edition M Sport Shadow xDrive,Dizelis,4,17-Jul,18-Feb
1115,320d EfficientDynamics Edition Touring,Nav,Dizelis,4,15-Jul,18-Feb
1116,320d EfficientDynamics Edition Touring,Steptronic,Dizelis,4,15-Jul,18-Feb
1117,320d EfficientDynamics Edition Touring,Nav,Dizelis,4,18-Mar,19-Jun
1118,320d EfficientDynamics Edition Touring,Steptronic,Dizelis,4,18-Mar,18-Jun
1119,320d EfficientDynamics Edition Touring,Steptronic,Dizelis,4,18-Jul,19-Jun
1120,320d EfficientDynamics Edition Touring,Advantage,Dizelis,4,15-Jul,18-Feb
1121,320d EfficientDynamics Edition Touring,Advantage Steptronic,Dizelis,4,15-Jul,18-Feb
1122,320d EfficientDynamics Edition Touring,Advantage,Dizelis,4,18-Mar,19-Jun
1123,320d EfficientDynamics Edition Touring,Advantage Steptronic,Dizelis,4,18-Mar,18-Jun
1124,320d EfficientDynamics Edition Touring,Advantage Steptronic,Dizelis,4,18-Jul,19-Jun
1125,320d EfficientDynamics Edition Touring,Sport Line,Dizelis,4,15-Jul,18-Feb
1126,320d EfficientDynamics Edition Touring,Sport Line Steptronic,Dizelis,4,15-Jul,18-Feb
1127,320d EfficientDynamics Edition Touring,Sport Line,Dizelis,4,18-Mar,19-Jun
1128,320d EfficientDynamics Edition Touring,Sport Line Steptronic,Dizelis,4,18-Mar,18-Jun
1129,320d EfficientDynamics Edition Touring,Sport Line Steptronic,Dizelis,4,18-Jul,19-Jun
1130,320d EfficientDynamics Edition Touring,Sport Line Shadow,Dizelis,4,17-Jul,18-Feb
1131,320d EfficientDynamics Edition Touring,Sport Line Shadow Steptronic,Dizelis,4,17-Jul,18-Feb
1132,320d EfficientDynamics Edition Touring,Sport Line Shadow,Dizelis,4,18-Mar,19-Feb
1133,320d EfficientDynamics Edition Touring,Sport Line Shadow Steptronic,Dizelis,4,18-Mar,18-Jun
1134,320d EfficientDynamics Edition Touring,Sport Line Shadow Steptronic,Dizelis,4,18-Jul,19-Feb
1135,320d EfficientDynamics Edition Touring,Luxury Line,Dizelis,4,15-Jul,18-Feb
1136,320d EfficientDynamics Edition Touring,Luxury Line Steptronic,Dizelis,4,15-Jul,18-Feb
1137,320d EfficientDynamics Edition Touring,Luxury Line,Dizelis,4,18-Mar,18-Jun
1138,320d EfficientDynamics Edition Touring,Luxury Line Steptronic,Dizelis,4,18-Mar,18-Jun
1139,320d EfficientDynamics Edition Touring,Edition Luxury Line Purity,Dizelis,4,17-Jul,18-Feb
1140,320d EfficientDynamics Edition Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,17-Jul,18-Feb
1141,320d EfficientDynamics Edition Touring,Edition Luxury Line Purity,Dizelis,4,18-Mar,19-Jun
1142,320d EfficientDynamics Edition Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,18-Mar,18-Jun
1143,320d EfficientDynamics Edition Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,18-Jul,19-Jun
1144,320d Touring,Nav,Dizelis,4,15-Jul,18-Feb
1145,320d Touring,Steptronic,Dizelis,4,15-Jul,18-Feb
1146,320d Touring,xDrive,Dizelis,4,15-Jul,18-Feb
1147,320d Touring,xDrive Steptronic,Dizelis,4,15-Jul,18-Feb
1148,320d Touring,Nav,Dizelis,4,18-Mar,19-Jun
1149,320d Touring,Steptronic,Dizelis,4,18-Mar,18-Jun
1150,320d Touring,Steptronic,Dizelis,4,18-Jul,19-Jun
1151,320d Touring,xDrive Steptronic,Dizelis,4,18-Mar,18-Jun
1152,320d Touring,xDrive Steptronic,Dizelis,4,18-Jul,19-Jun
1153,320d Touring,Advantage,Dizelis,4,15-Jul,18-Feb
1154,320d Touring,Advantage Steptronic,Dizelis,4,15-Jul,18-Feb
1155,320d Touring,Advantage xDrive,Dizelis,4,15-Jul,18-Feb
1156,320d Touring,Advantage xDrive Steptronic,Dizelis,4,15-Jul,18-Feb
1157,320d Touring,Advantage,Dizelis,4,18-Mar,19-Jun
1158,320d Touring,Advantage Steptronic,Dizelis,4,18-Mar,18-Jun
1159,320d Touring,Advantage Steptronic,Dizelis,4,18-Jul,19-Jun
1160,320d Touring,Advantage xDrive Steptronic,Dizelis,4,18-Mar,18-Jun
1161,320d Touring,Advantage xDrive Steptronic,Dizelis,4,18-Jul,19-Jun
1162,320d Touring,Sport Line,Dizelis,4,15-Jul,18-Feb
1163,320d Touring,Sport Line Steptronic,Dizelis,4,15-Jul,18-Feb
1164,320d Touring,Sport Line xDrive,Dizelis,4,15-Jul,18-Feb
1165,320d Touring,Sport Line xDrive Steptronic,Dizelis,4,15-Jul,18-Feb
1166,320d Touring,Sport Line,Dizelis,4,18-Mar,19-Jun
1167,320d Touring,Sport Line Steptronic,Dizelis,4,18-Mar,18-Jun
1168,320d Touring,Sport Line Steptronic,Dizelis,4,18-Jul,19-Jun
1169,320d Touring,Sport Line xDrive Steptronic,Dizelis,4,18-Mar,18-Jun
1170,320d Touring,Sport Line xDrive Steptronic,Dizelis,4,18-Jul,19-Jun
1171,320d Touring,Sport Line Shadow,Dizelis,4,17-Jul,18-Feb
1172,320d Touring,Sport Line Shadow Steptronic,Dizelis,4,17-Jul,18-Feb
1173,320d Touring,Sport Line Shadow xDrive,Dizelis,4,17-Jul,18-Feb
1174,320d Touring,Sport Line Shadow xDrive Steptronic,Dizelis,4,17-Jul,18-Feb
1175,320d Touring,Sport Line Shadow,Dizelis,4,18-Mar,19-Feb
1176,320d Touring,Sport Line Shadow Steptronic,Dizelis,4,18-Mar,18-Jun
1177,320d Touring,Sport Line Shadow Steptronic,Dizelis,4,18-Jul,19-Feb
1178,320d Touring,Sport Line Shadow xDrive Steptronic,Dizelis,4,18-Mar,18-Jun
1179,320d Touring,Sport Line Shadow xDrive Steptronic,Dizelis,4,18-Jul,19-Feb
1180,320d Touring,Luxury Line,Dizelis,4,15-Jul,18-Feb
1181,320d Touring,Luxury Line Steptronic,Dizelis,4,15-Jul,18-Feb
1182,320d Touring,Luxury Line xDrive,Dizelis,4,15-Jul,18-Feb
1183,320d Touring,Luxury Line xDrive Steptronic,Dizelis,4,15-Jul,18-Feb
1184,320d Touring,Luxury Line,Dizelis,4,18-Mar,18-Jun
1185,320d Touring,Luxury Line Steptronic,Dizelis,4,18-Mar,18-Jun
1186,320d Touring,Luxury Line xDrive Steptronic,Dizelis,4,18-Mar,18-Jun
1187,320d Touring,Edition Luxury Line Purity,Dizelis,4,17-Jul,18-Feb
1188,320d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,17-Jul,18-Feb
1189,320d Touring,Edition Luxury Line Purity xDrive,Dizelis,4,17-Jul,18-Feb
1190,320d Touring,Edition Luxury Line Purity xDrive Steptronic,Dizelis,4,17-Jul,18-Feb
1191,320d Touring,Edition Luxury Line Purity,Dizelis,4,18-Mar,19-Jun
1192,320d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,18-Mar,18-Jun
1193,320d Touring,Edition Luxury Line Purity Steptronic,Dizelis,4,18-Jul,19-Jun
1194,320d Touring,Edition Luxury Line Purity xDrive Steptronic,Dizelis,4,18-Mar,18-Jun
1195,320d Touring,Edition Luxury Line Purity xDrive Steptronic,Dizelis,4,18-Jul,19-Jun
1196,320d Touring,M Sport,Dizelis,4,15-Jul,18-Feb
1197,320d Touring,M Sport Steptronic,Dizelis,4,15-Jul,18-Feb
1198,320d Touring,M Sport xDrive,Dizelis,4,15-Jul,18-Feb
1199,320d Touring,M Sport xDrive Steptronic,Dizelis,4,15-Jul,18-Feb
1200,320d Touring,M Sport,Dizelis,4,18-Mar,18-Jun
1201,320d Touring,M Sport Steptronic,Dizelis,4,18-Mar,18-Jun
1202,320d Touring,M Sport xDrive Steptronic,Dizelis,4,18-Mar,18-Jun
1203,320d Touring,Edition M Sport Shadow,Dizelis,4,17-Jul,18-Feb
1204,320d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,17-Jul,18-Feb
1205,320d Touring,Edition M Sport Shadow xDrive,Dizelis,4,17-Jul,18-Feb
1206,320d Touring,Edition M Sport Shadow xDrive Steptronic,Dizelis,4,17-Jul,18-Feb
1207,320d Touring,Edition M Sport Shadow,Dizelis,4,18-Mar,19-Jun
1208,320d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,18-Mar,18-Jun
1209,320d Touring,Edition M Sport Shadow Steptronic,Dizelis,4,18-Jul,19-Jun
1210,320d Touring,Edition M Sport Shadow xDrive Steptronic,Dizelis,4,18-Mar,18-Jun
1211,320d Touring,Edition M Sport Shadow xDrive Steptronic,Dizelis,4,18-Jul,19-Jun
